pct_fragments	fragments_clade	fragments_direct	minimizers	distinct_minimizers	rank_code	taxid	name	sample	is_host	total_distinct_minimizers_non_host	minimizer_proportion_sample	neg_control_prop	signal_over_neg	db_pct	db_clade_minimizers	db_taxon_minimizers	db_rank_code	db_name	genome_coverage_estimate	taxon_mean_prop	taxon_sd_prop	n_samples_with_taxon	z_score	p_value	fdr	z_score_neg	p_value_neg	fdr_neg
0.01	5.0	5.0	79.0	1.0	S	3049774	Devosia rhizosphaerae	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	1168675.0	1168675.0	S	Devosia rhizosphaerae	8.556698825593086e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	36855	Brucella canis	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.0	9237.0	7684.0	S	Brucella canis	0.0001301405517959396	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	543877	Pelagerythrobacter marensis	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	1523573.0	1523573.0	S	Pelagerythrobacter marensis	6.563518781180816e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	46.0	1.0	S	2795738	Sphingobacterium sp. UDSM-2020	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	1727496.0	1727496.0	S	Sphingobacterium sp. UDSM-2020	5.788725415283162e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	16.0	1.0	S	3416668	Chryseobacterium sp. R2ACT005	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.0	356191.0	356191.0	S	Chryseobacterium sp. R2ACT005	2.807482502365304e-06	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	1124835	Chryseobacterium carnipullorum	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	1375406.0	1375406.0	S	Chryseobacterium carnipullorum	7.270580468603452e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	1014	Weeksella virosa	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.0	632793.0	631716.0	S	Weeksella virosa	1.5829898245414079e-06	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	2.0	1.0	S	2906078	Flavobacterium oreochromis	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.0	847288.0	847288.0	S	Flavobacterium oreochromis	1.1802362360850147e-06	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	1178778	Maribacter cobaltidurans	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	1310974.0	1310974.0	S	Maribacter cobaltidurans	7.627916343115881e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	274537	Chlorobaculum limnaeum	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.0	774595.0	774595.0	S	Chlorobaculum limnaeum	1.29099723081094e-06	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	0.0	982.0	1.0	S	71667	Waddlia chondrophila	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.0	631981.0	0.0	S	Waddlia chondrophila		8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	6.0	1.0	S	2590022	Sulfurimonas lithotrophica	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.0	671584.0	671584.0	S	Sulfurimonas lithotrophica	1.4890170105303283e-06	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	231439	Pseudodesulfovibrio portus	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	978271.0	978271.0	S	Pseudodesulfovibrio portus	1.0222116366528293e-06	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	4.0	1.0	S	2810562	Desulfoluna limicola	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	1961455.0	1961455.0	S	Desulfoluna limicola	5.098256141486805e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	0.0	1.0	1.0	S	453816	Pseudobdellovibrio exovorus	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.0	826788.0	0.0	S	Pseudobdellovibrio exovorus		8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	388357	Kocuria turfanensis	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	960997.0	960997.0	S	Kocuria turfanensis	1.0405859747741148e-06	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	3093864	Microbacterium sp. R86528	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.0	894497.0	894497.0	S	Microbacterium sp. R86528	1.117946734309897e-06	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	415217	Microbacterium lacus	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	1023466.0	1023466.0	S	Microbacterium lacus	9.77072027795745e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	4.0	4.0	4.0	1.0	S	1795630	Frondihabitans sp. PAMC 28766	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	1336369.0	1336369.0	S	Frondihabitans sp. PAMC 28766	7.482963163617235e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	1.0	1.0	1.0	1.0	S	2724914	Leifsonia sp. PS1209	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	1059413.0	1059413.0	S	Leifsonia sp. PS1209	9.439189437924587e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
0.0	2.0	2.0	2.0	1.0	S	2973977	Cellulomonas sp. NS3	MG-Run35-Ech-11	False	12123.0	8.248783304462591e-05	8.248783304462591e-05	0.0	0.01	1176604.0	1176604.0	S	Cellulomonas sp. NS3	8.499036209293866e-07	8.248783304462591e-05		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904
