sample	taxid	name	cub_pct_fragments	cub_fragments_clade	cub_fragments_direct	cub_minimizers	cub_distinct_minimizers	cub_rank_code	cub_is_host	cub_total_distinct_minimizers_non_host	cub_minimizer_proportion_sample	cub_neg_control_prop	cub_signal_over_neg	cub_db_pct	cub_db_clade_minimizers	cub_db_taxon_minimizers	cub_db_rank_code	cub_db_name	cub_genome_coverage_estimate	cub_taxon_mean_prop	cub_taxon_sd_prop	cub_n_samples_with_taxon	cub_z_score	cub_p_value	cub_fdr	cub_z_score_neg	cub_p_value_neg	cub_fdr_neg	sample_right	taxid_right	gtdb_taxonomy	bam_reference	bam_mapq_min	bam_read_count	bam_neg_read_count	bam_z_score	bam_p_value	bam_ncbi_taxid
MG-Run35-Ech-12	3093922	Hymenobacter sp. GOD-10R	0.0	1.0	1.0	2.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	2329495.0	2329495.0	S	Hymenobacter sp. GOD-10R	4.292775902073196e-7	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	2907205	Tellurirhabdus bombi	0.0	7.0	7.0	58.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	1541585.0	1541585.0	S	Tellurirhabdus bombi	6.486830113162751e-7	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	2710596	Spirosoma foliorum	0.0	1.0	1.0	11.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	2719089.0	2719089.0	S	Spirosoma foliorum	3.6777023481026184e-7	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	393921	Porphyromonas crevioricanis	0.0	2.0	2.0	21.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.0	645316.0	645316.0	S	Porphyromonas crevioricanis	1.5496283991098934e-6	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	2585118	Alistipes communis	0.0	1.0	1.0	630.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	1277183.0	1277183.0	S	Alistipes communis	7.829731526335694e-7	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	2908842	Allomuricauda sp. SCSIO 64092	0.0	2.0	2.0	2.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	1757687.0	1757687.0	S	Allomuricauda sp. SCSIO 64092	5.689295079271793e-7	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	2738844	Polaribacter pectinis	0.0	1.0	1.0	1.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.0	737113.0	737113.0	S	Polaribacter pectinis	1.3566440966310456e-6	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	1761453	Euzebyella marina	0.0	6.0	6.0	31.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	1405473.0	1405473.0	S	Euzebyella marina	7.11504240921028e-7	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	2915619	Flagellimonas aurea	0.0	11.0	11.0	11.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	1225226.0	1225226.0	S	Flagellimonas aurea	8.1617595447697e-7	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
MG-Run35-Ech-12	2502784	Flavobacterium cerinum	0.0	1.0	1.0	2.0	1.0	S	false	347386.0	2.878642202046139e-6	0.0	2.878642202046139e-6	0.01	1135822.0	1135822.0	S	Flavobacterium cerinum	8.804196432187438e-7	2.878642202046139e-6		1	0.0	0.5	0.7883334885623063	0.0	0.5	0.6518274251167904										
